iteracao,y_hat_mistakes,y_hat_syntax
1,[2 1 1 1 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[2 2 2 2 3 2 2 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 2 3 3 2]
2,[1 1 1 1 2 1 1 1 2 2 2 2 2 2 2 1 2 2 2 2 2 1 2 1 2 1 2],[2 2 2 2 3 2 2 3 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 2 3 3 2]
3,[1 1 1 1 1 1 1 1 2 2 2 2 2 1 2 1 2 2 1 2 2 1 2 1 2 1 2],[2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 3 3 2]
4,[1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 1 2 2 2 2 2 1 2 2 2 1 2],[2 2 2 2 3 2 2 3 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 2 3 3 2]
5,[1 1 1 1 1 1 1 1 2 1 1 2 2 2 2 1 2 2 2 2 2 1 2 1 2 1 2],[2 2 2 2 3 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 3 3 2]
6,[1 1 1 1 1 1 1 1 2 1 1 2 2 1 2 1 2 2 2 2 2 1 2 1 2 1 2],[2 2 2 2 2 2 2 3 3 3 3 3 4 3 3 4 3 3 3 4 3 3 3 2 3 3 2]
7,[1 1 1 1 1 1 1 1 2 1 2 2 2 1 2 2 2 2 2 2 2 1 2 1 2 1 1],[2 2 2 2 2 2 2 2 3 3 3 3 3 3 4 4 4 3 3 3 3 3 3 2 3 3 2]
8,[1 1 1 1 2 1 1 2 2 2 2 2 2 2 2 1 2 2 2 2 2 1 2 1 2 1 2],[2 2 2 2 3 2 2 3 3 3 3 3 4 3 3 4 3 3 3 3 4 3 3 2 3 3 2]
9,[2 1 1 1 2 1 2 1 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 1 2],[2 2 2 2 3 2 2 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 2 3 3 2]
10,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[2 2 2 2 3 2 2 3 3 3 3 3 3 3 3 4 3 3 3 4 4 3 3 3 4 3 3]
11,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 3 2 2 3 3 3 3 3 3 4 4 4 3 3 3 4 4 3 3 3 3 3 3]
12,[2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 2 3 3 3 3 3 3 3 3 4 3 4 3 3 3 3 3 3 3 3 3]
13,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 2 3 3 3 3 3 4 3 3 4 3 4 3 4 3 3 3 3 4 3 3]
14,[2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[3 2 4 2 3 2 2 3 3 3 3 3 3 4 3 4 3 3 3 4 3 3 3 3 3 3 3]
15,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 3 2 3 3 3 3 3 3 3 4 3 3 4 4 3 4 3 3 3 3 3 3 3]
16,[2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 3 2 2 3 3 3 3 3 3 3 3 4 4 3 3 4 3 3 3 3 3 3 3]
17,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 2 3 3 3 3 3 3 3 3 4 4 4 3 4 4 3 3 3 4 3 3]
18,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 4 3 3 3 3 3 3 3 4 3 4 3 4 4 3 3 3 3 3 3]
19,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 3 3 3 3 3 3 4 4 4 3 4 3 3 4 3 3 2 3 3 2]
20,[2 1 1 1 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[2 2 2 2 2 2 2 3 3 3 3 4 4 4 4 4 4 3 3 4 3 3 3 2 4 3 2]
21,[2 1 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[2 2 2 2 2 2 2 3 3 3 3 4 4 4 4 4 4 4 4 4 4 3 3 2 3 3 2]
22,[2 1 1 1 1 1 2 2 2 2 2 2 2 1 2 1 2 2 2 2 2 2 2 2 2 1 2],[2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 4 4 3 3 4 4 3 3 2 3 4 2]
23,[1 1 1 1 1 1 2 1 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 1 2],[2 2 2 2 2 2 2 3 3 3 3 3 4 3 4 4 3 3 3 4 3 3 3 2 4 3 2]
24,[2 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 1 2],[2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 4 4 3 3 4 4 3 3 2 4 3 2]
25,[1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[2 2 2 2 2 2 2 3 3 3 3 4 3 4 4 4 3 4 4 4 3 3 3 2 3 4 2]
26,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[2 2 2 2 2 2 2 3 3 4 3 3 4 4 3 4 4 3 3 3 4 3 3 2 4 3 2]
27,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[2 2 2 2 2 2 2 3 3 3 3 3 4 4 4 4 4 4 3 4 4 3 3 2 4 3 2]
28,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[2 2 2 2 2 2 2 3 3 3 3 3 4 3 4 4 4 4 3 4 4 3 3 2 4 3 2]
29,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 4 2 2 3 3 4 3 4 4 4 3 4 4 4 3 4 4 3 3 2 3 3 2]
